욕	순화단어
보짓물마셔	사랑을 마셔
게가튼	좋지 않은
졀라	매우
따먹을까	실헝
뻑큐	사랑
개에거얼래	더러운
노무현	전직대통령
섀키	녀석
개가튼뇬	나쁜여자
개애걸래	더러운
닝기리	사랑
늬믜	사랑
대에가리	머리
쌍쌍보지	소중
존귀	귀여운
친년	나쁜여자
ㅈㄴ	매우
웅엥	울먹
보지따먹기	사랑
ㅍㅌㅊ	보통
미시친발	놀래라
막내뱉	그냥 말하다
남미새	이성애자
눈깔	눈
설거지론	이론
좃부랄	매우
병신	나쁜놈
믜칀	우와
쌔엑스	관계
잠지털	소중
쓰뎅	으악
싸개	칠칠치 못한
자지박어	사랑해
시바알	으악
구씹	사랑
엠생	보통 인생
시미발친	놀래라
썌끼	녀석
젖	아기밥
이기야	사투리
좇같	좋지 않은
공개처형	아파
자지구녕	소중
먹.금	사랑
저년	저 여자
정자마셔	사랑을 마셔
기자레기	기자분
지껄이	말하는
맘충	효심이 깊은
ㅅㅍ	동반자
존멋	멋진
믜칀	와우
잡종	섞인
ㅂㅁㄱ	사랑
뒤졌	아펐
미칭럼	훌륭한 녀석
소음순	소중
후1빨	사랑
니애비	사랑
보지핧어	사랑해
믜친	와우
좃마무리	사랑을 마무리
좆밥	훌륭한 녀석
멍청이	훌륭한 녀석
씨빨	와우
추남	못생긴 남자
염뵹	덜떨어진
골빈	덜떨어진
얘쁘	예쁘
새끼	녀석
죤내	매우
좃빠구리	사랑
개.웃	웃
닥눈삼	사랑
쬰잘	잘생
빠구리	사랑
입털	말하
게부럴	사랑
막간년	훌륭한 여자
뻨큐	가운데 손가락
맘충	효심이 깊은
씌벨	와우
십탱구리	사랑스러운
씨입세	사랑
옘병	허허
시바류	우와
왜놈	일본사람
ㅄ	덜떨어진
ㅂㅅ	덜떨어진
꺼지세요	가세요
창녀	사랑스러운 여자
따먹자	사랑하자
미쳤나	힘든가
존예	예쁜
유방쪼물딱	사랑
존버	기다림
좃	매우
화냥년	사랑스러운 녀석
슈ㅣ발	우와
존버	버텨라
공개	공개
가슴핧어	마음을 봐
조온	찐
개씁년	녀석
엿이나	이거나
씨퐁자지	자식
시키가	자식
충격과	충격과
그1켬	진짜 싫어
빠간가	바본가
지롤	뭐
핑1프	게이른
보지자지	몸과 마음
호로새끼	자식
서치해	서치해
좃간년	녀석
ㄱㅇㄷ	이득
친구년	친구녀석
시1발	젠장
보지년	녀석
년놈	남녀
ㅂㅊ	녀석
씨팍세끼	자식
싑창	큰일
개보지	마음
ㅅㄲ들	자식들
쿰.척	꼼지락
망해라	망해라
보이루	보이루
손놈	손님자식
허버리년	녀석
미친	미친
똘아이	돌아이
아가리	입
걸레같은년	녀석
죽어	죽어
ㅆㅣ팍넘	자식
졸예	졸예
피해자	피해자
애미보지	마음
보지녀	녀석
졸잼	졸잼
뻨큐	이거나 먹어
정액먹어	사랑 먹어
죤나	진짜
미쳤니	미쳤니
저엊	마음
똘추	멍청이
보라니	보행자 고라니
보지빨아	마음 받아
보픈카	마음이 열린
엿같	그지같
개지랄놈	녀석
뭐저래	뭐저래
꼰대	꼰대
몸빵	몸빵
딸달이	마음잡기
존잼	존잼
색히	자식
ㅆ1ㅂ	젠장
졸귀	졸귀
쓰래기같	쓰래기같
머리	머리
쫀맛	존맛
대갈	머리
새끼	자식
젓만이	자식
미친새끼	자식
돌았네	돌았네
졸귘	졸귀
존.나	진짜
씹선	선비
국밥충	국밥
띠벌	사랑
꼴데	롯데
씨이발	사랑
여자따묵기	마음 받기
18세키	자식
뒈지다	죽다
좆새끼	자식
18놈	자식
십탱	젠장
빠라	받아
죶	몸
느금마	사랑과 평화
덜떨어	모자란
씨팍	사랑
내뱉	내뱉
시팔	사랑
좆밥	만만한 녀석
졸귀	졸귀
디질	죽을
씹탱굴이	사랑스런 자식
좆도	뭣도
십녀	자식
항문수셔	마음을 뚫어
미친구녕	마음
좃물	몸물
꼽등이	자식
씨빠빠	쓰레빠
ㅈㄹ	난리
처먹	처먹
새퀴	자식
워마드	매드
좁밥	몸밥
쓰벌	쓰레빠
니씨브랄	쓰레빠
씨뷰렬	쓰레빠
게젓	뭣
띠이발	스레빠
십세이	자식
개마이	마이
쎅스	사랑
십창녀	자식
슈우벌	스레빠
조개넓은년	마음 넓은 녀석
보추	자식
씨블	스리빠
가슴빨어	마음 받어
싸물어	다물어
존예	존예
정병	마음 병
사새끼	자식
느그	니
좆대가리	대가리
처형	처벌
ㅅ1발	스레빠
저엇	스레빠
꺼.지	꺼져
ㅆㅣ댕	스레빠
엿	뭐
닥1	조용
십창	난리
뷰웅신	자식
아닥	조용
개마이	마이
외퀴	극성팬
18ㅅㅔ키	자식
젓물	마음 물
쌍년	자식
미친놈	자식
쥰내	진짜
凸	뭐
시친발미	미친
좆나	진짜
ㅅㅡ루	스레빠
존나	진짜
유두핧어	마음 받어
자지털	몸
버어지	마음
씨부렬	쓰레빠
좃빠네	난리치네
조온마니	자식
쉐끼	자식
대가리	머리
색희	자식
디져라	주겅라
시볼탱	스레빠
메갈리아	메갈리아
뒤져요	죽어요
잡놈	자식
더어엉신	자식
엠창	진짜
ㅁ.ㄱ	관심 금지
버지따먹기	마음 먹기
존마니	쪼꼬미
늑음	몸과 마음
미친구멍	마음
개잡년	자식
걔잡지랄	난리
쪼다	쪼잔한 자식
충	극
뒤지겠	죽겠
등신	자식
젓까	뭣까
ㅁ친	미친
뒤치기	마음치기
기레기	기자 자식
또오라아이	자식
애미	어머니
뷰웅시인	자식
자지빨아	몸 받아
씌발	스레빠
개새기	자식
시뷰렬	스레빠
우라질	모자란
가슴주물럭	마음 만지기
ㅈ.ㄴ	진짜
개가튼	뭐같은
자지꽂아	몸 찾아
쪼다	자식
띠발	쓰레빠
망돌	망한 아이돌
페니스	몸
ㅅㅂ	스레빠
창남	남자
보지	여자
버짓물	마음 물
쥰내	진짜
갈보	바랜 마음
짱개	중국
쥐랄	난리
너검엄빠	어머니 아버지
쬰잘	존잘
시이발	스레빠
쓰벨	쓰레빠
쉽알넘	자식
니미럴	젠장
씨뷰럴	쓰레빠
세키	자식
자지짤라	몸 사려
좃	꽃
개지랄넘	자식
텐귀	갑부
씨빡	쓰레빠
조오온니	지이인짜
빡새끼	자식
쇡끼	자식
시팔놈	자식
따알따리	몸 받이
썅	아
이새끼	자식
개씨발	쓰레빠
슈우벌	스레빠
시바라지	자식
개넷	앰넷자식
개부달	쓰레빠
씨븡	쓰레바
내미랄	젠장
버지냄새	몸내
호루자슥	자식
년놈	남녀
오랑캐	자식
조개보지	마음
개붕알	몸과 마음
간나새끼	자식
후빨	마음 받기
fuck	아
십자석	자식
빠가새	멍청이
쓰레기새	자식
사까아시이	마음 앓이
거렁뱅이	거지
스ㄹㅜ	스레빠
즤랄	난리
양놈	서양자식
너거애비	어머니 아버지
애미랄	난리
엿같	뭐같
쫂	존나좋다
ㅆㅣ뎅	쓰레빠
ㅆㅣㅂㅏ	쓰레바
시뷰렬	스레빠
좆까	까
후빨대가리	대가리
쪽1바리	일본놈
브랄	몸과 마음
ㅇㅒ쁜	얘쁜
조오올라	지인짜
개에걸래	녀석
노무노무	너무너무
계새끼	자식
ㄷㅇㅂ	폰팔이
싹스	마음
삼일한	삼일에 한 번
씨벌	쓰레빠
애무	마음 다루기
18ㅅㅐㄲㅣ	자식
빙신쉐이	자식
개련	자식
색퀴	자식
시팔년	자식
유우까압	나안리
씨발롬	자식
씨볼탱	쓰레빠
조오지	몸
엄창	진짜
미친새	자식
보지핧아줄까	마음 받아줄까
개지랄	난리
남창	남자
에애무	마음다루기
아아가리	입
개씁블	쓰레빠
똘아이	돌아이
졌같은	개같은
니미	니
졸좋	존좋
따먹기	마음 받기
18세ㅋㅣ	자식
슈1발	젠장
씹치남	남
쉬탱	스레빠
미시친발	젠장
씨새발끼	자식
zaji	몸
섀키	자식
보슬	약자 버프
좃까	뭣까
꼬걸	몸 가벼운
음경	몸
후려	받어
니애미	니
개같은년	자식
쒸8	젠장
시팔넘	자식
이완용	친일파
럼들	자식들
노알라	누왈라
썅놈	자식
띠벨	쓰레빠
덜떨어지다	부족하다
빠가야로	바보
미친색	미친놈
십부럴	스레빠
십지랄	난리
애에미	니
죵나	진짜
씨뷰럴	쓰레빠
유우깝	난리
졸라	진짜
좆심	몸심
작은보지	작은 마음
화낭년	녀석
자위	몸 맞이
ㅁ친	미친
골1빈	모자란
ㅆㅣ	쓰레빠
boji	마음
병신셰리	멍청한 자식
상년	자식
백보지	마음
개독	무개념 기독교
jaji	몸
꼬라보다	노려보다
씹새끼	자식
ㅅ루	쓰레빠
유발조물락	마음 만지
및힌	미친
로꺼져	가버렷
십팔넘	자식
여미새	호색한
십탱굴이	사랑스러운
씨방세	자식
웅앵	웅얼
미제	미국
띠브울	쓰레빠
얪	일베
씹	쓰레빠
죠온나	진짜
네아줌마	네~
섹끼	자식
shit	쉿
자지뜯어	몸 받어
빠돼쌍	뜨자
좃도	뭣도
ㅄ	모자란 녀석
시발놈	자식
ㅅ1ㄲ	자식
쳐쑤셔박어	마음 받어
앰창	진짜
미놈	자식
보짓물	마음물
보지물	마음물
로리콘	어린 마음
씹팔넘	자식
젖까	뭣까
정자핧아	몸 받아
보지핧아줘	마음 받아
캐럿닷컴	당근
뒤졌	죽었
육시랄	난리
파1친	미친
죵나	진짜
똘마니	말단
새77ㅣ	자식
개나소나	이거나 저거나
ㅅㅐㄲㅣ	자식
쫀귀	졸귀
씨박색희	자식
개불랄	자식
애새끼	자식
병신	자식
병신세리	자식
종나	진짜
개씨발넘	자식
잠지물마셔	몸 받어
호냥년	사랑스런 녀석
씨바라	자식아
버지쑤셔	마음 받어
좃또	뭣도
조센징	한국인
씨버럼	자식
ㅆㅣ바	쓰레빠
버지빨어	마음 받어
내꺼빨아	마음 받어
쪽바리	일본
보지빨어	마음 받어
ㅅ끼	자식
버지핧아	마음 받어
찎찎이	쭉쭉이
뒷치기	몸과 마음
시새발끼	자식
창녀	여자
좃털	몸
짱께	중국
쌍놈	자식
내조지	내 몸
보지쥐어짜	마음 쥐어짜
졸싫	싫어
골빈	모자란
가슴조물락	마음 만지기
후.려	물려
아다	모자란
쉬버	스레빠
육변기	악한 몸
뇌텅	모자란
ㅈㄹ	난리
좆만아	쪼마나
후장꽂아	마음 찾아
상폐녀	수수한 여자
한녀	여자
애미씨뱅	쓰레빠
자지넣자	몸 찾자
존귘	존귀
빠구울	사랑스런
개초딩	초딩
좆털	몸
개새끼	자식
고자	약한 녀석
호로새끼	나쁜 녀석
개후라년	자식
개념빠가	모자란
니믜	니
따먹어야지	몸 막어야지
정액마셔	몸 맞아
개저엇	뭣
씨팔	쓰레빠
졏같	뭐같
옌장	젠장
에에미	니
좃빠라라	몸 맞아라
보지핧아	마음 받아
조개쑤셔줘?	마음 받아줘?
ㅁㅣ췬	미친
허벌레	헤벌레
씨불알	젠장
보지구멍	마음
띠부우울	쓰레빠
ㅈ리	진짜
시방색희	자식
보지털	마음
바카	바보
ㅅ1ㅂ	스레빠
딸딸이대	몸
여자ㄸㅏ묵기	마음 받기
빠굴	사랑스런
ㅅ루	스레빠
쓰바	쓰레빠
쥰니	진짜
시팍	스레빠
에에무	마음 받기
자지빨아줘	몸 받기
개독	기독
조오까튼	뭐같은
슈발	쓰레빠
좆	뭣
보지벌리자	마음 받자
쉬이이이	쓰레빠
내자지	내 몸
창놈	남자
존.나	진짜
시부럴	스레빠
주둥이	입
염병	난리
미치ㄴ	미친
족까	까
씨댕	쓰레빠
조우까튼	뭐같은
유방핧어	마음 받어
시펄	스레빠
딴년	딴 녀석
가슴빨아	마음 받어
뻑유	아
새ㄲㅣ	자식
덜은새끼	모자란 녀석
새77ㅣ	자식
세끼	자식
빠큐	사랑
ㅆㅣ발	쓰레빠
씨벌탱	쓰레빠
개념빠가	모자란
취좃	취무
새끼라	자식
막대쑤셔줘?	마음 잡아줘?
버따리자지	몸과 마음
가슴쪼물딱	마음 가다듬기
쌍보지	마음
자지핧아	몸 받아
젓물냄새	몸내
후장	마음
존ㄴ나	진짜
보지벌료	마음 열어
누보햄	마음
ㅆ1ㄺ	모자란 녀석
18nom	자식
뒈져	죽어
느금마	니
닝기리	사랑하는 어머니
색히	자식
ㅅ.ㅂ	스레빠
은새끼	자식
니기미	사랑하는 어머니
씨발병신	자식
구씹	구라지
보지뚫어	마음 뚫어
솔1친	엉뚱한
버지썰어	마음 열어
조또	뭣도
이년	여자
주둥아리	입
골	머리
ㅅㅋ	자식
시방새	자식
젓냄새	몸내
좃넘	남자
젖같	뭐같
아오시바	젠장
쉬방새	자식
괘새끼	자식
노네들	너네들
뼈큐	사랑 받아
지이라알	난리
죽짱	죽창
띠바	젠장
쌍년	자식
씹쌔끼	자식
한남들	남자들
시빡	스레빠
씌뎅	젠장
유방쪼물럭	마음 어루만지기
딴년	딴 여자
레1친	친구
븅딱	모자란 녀석
띠이바알	쓰레빠
절라	진짜
미친넘	자식
김치녀	여자
텐덕	덕후
걸레보지	나쁜 마음
착짱	착한 중국인
씨뻘	쓰레빠
개색휘	자식
뻑큐	사랑 먹어
쳐먹	먹어
시박색히	자식
애애무	마음다루기
쥰니	진짜
뒤져버	사라져버
더러운년	모자란 녀석
시볼탱	스레빠
유두빨어	마음 받어
bozi	마음
세키	자식
세엑쓰	사랑
따먹었어	사랑 먹었어
시부울	스레빠
쪽발	일본
니아범	니
후우자앙	마음
사까아시	마음
시벌탱	스레빠
니미	니
머갈	머리
슈레기	모자란 녀석
김대중	선생님
시팍새끼	자식
mi쳤	미쳤
개후라들놈	자식들
씹지랄	생난리
씨뎅	스레빠
찌질이	모자란 녀석
조깟	뭐같
jot같	뭐같
좃만한것	조마난 것
시부울	스레빠
곱창나	난장판나
씹빵구	마음
ㅈ같네	뭐같네
샊히	자식
쫓같	뭐같
좆까	상관마
미띤	미친
